run,nrmse,R,O,m,mm,p,pm,DNA,P_fluor,M,P,r2_pm_final,r2_mm_max
M5_baseline_y0,0.340212,20504890.424443,61895121.456073,112420425.498600,0.198324,11532748282.442057,0.482100,203890708.816833,,,,0.227055,0.459698
M9_oxygen_dark_y0,0.343957,,,,0.343957,,,,0.803096,,,-0.602411,-0.372995
M9_oxygen_dark_base,0.343957,,,,0.343957,,,,0.803096,,,-0.602411,-0.372995
M4_three_state_base,0.364756,,,,,,,,0.430312,0.299200,,0.268814,-0.117438
M3_two_state_base,0.369028,,,,,,,,,0.249761,0.488295,0.140230,0.394937
M3_two_state_y0,0.400397,,,,,,,,,0.277683,0.523111,0.177810,0.132490
M4_three_state_y0,0.427450,,,,,,,,0.598653,0.256246,,0.216645,0.157056
M5_baseline_base,0.453676,20540544.513044,20166171.141929,584675951.410616,0.348662,14740366527.269188,0.558689,203890708.816833,,,,-0.207883,0.071874
M5_baseline_base,0.453676,20540544.513044,20166171.141929,584675951.410616,0.348662,14740366527.269188,0.558689,203890708.816833,,,,-0.207883,0.071874
M8_reagent_resource_base,0.532929,,,,0.257435,,0.808423,,,,,-0.453257,0.083569
M8_reagent_resource_y0,0.558390,,,,0.314305,,0.802474,,,,,-0.598939,-0.079190
M7_boundary_gated_base,0.573526,,,,0.343957,,0.803096,,,,,-0.602411,-0.372995
M7_boundary_gated_y0,0.573526,,,,0.343957,,0.803096,,,,,-0.602411,-0.372995
