time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15
1.003344506025314331e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
2.006689012050628662e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
3.010033369064331055e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
4.013378024101257324e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
5.016722679138183594e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
6.020066738128662109e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
7.023411393165588379e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
8.026756048202514648e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
9.030100107192993164e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
1.003344535827636719e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
1.103678941726684570e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
1.204013347625732422e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
1.304347872734069824e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
1.404682278633117676e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.477221012115478516e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.071067690849304199e-01,7.071076035499572754e-01
