step,time,model,Base,Mod,Am,MOF_C
0,0.0502,GRU,0.0,0.0,0.0,0.0
1,0.1505,GRU,0.0,0.0,0.0,0.0
2,0.2508,GRU,0.0,0.0,0.0,0.0
3,0.3512,GRU,0.0,0.0,0.0,0.0
4,0.4515,GRU,0.0,0.0,0.0,0.0
5,0.5518,GRU,0.0,0.0,0.0,0.0
6,0.6522,GRU,0.0,0.0,0.0,0.0
7,0.7525,GRU,0.0,0.0,0.0,0.0
8,0.8528,GRU,0.0,0.0,0.0,0.0
9,0.9532,GRU,0.0,0.0,0.0,0.0
10,1.0535,GRU,0.0,0.0,0.0,0.0
11,1.1538,GRU,0.0,0.0,0.0,0.0
12,1.2542,GRU,0.0,0.0,0.0,0.0
13,1.3545,GRU,0.0,0.0,0.0,0.0
14,1.4548,GRU,0.0,0.0,0.0,0.0
15,1.5552,GRU,0.0,0.0,0.0,0.0
16,1.6555,GRU,0.0,0.0,0.0,0.0
17,1.7559,GRU,0.0,0.0,0.0,0.0
18,1.8562,GRU,0.0,0.0,0.0,0.0
19,1.9565,GRU,0.0,0.0,0.0,0.0
20,2.0569,GRU,0.0,0.0,0.0,0.0
21,2.1572,GRU,0.0,0.0,0.0,0.0
22,2.2575,GRU,0.0,0.0,0.0,0.0
23,2.3579,GRU,0.0,0.0,0.0,0.0
24,2.4582,GRU,0.0,0.0,0.0,0.0
25,2.5585,GRU,0.0,0.0,0.0,0.0
26,2.6589,GRU,0.0,0.0,0.0,0.0
27,2.7592,GRU,0.0,0.0,0.0,0.0
28,2.8595,GRU,0.0,0.0,0.0,0.0
29,2.9599,GRU,0.0,0.0,0.0,0.0
30,3.0602,GRU,0.818191,0.0,0.076544,0.029439
31,3.1605,GRU,0.669436,0.0,0.139074,0.053914
32,3.2609,GRU,0.547725,0.0,0.190346,0.07425
33,3.3612,GRU,0.448143,0.0,0.232389,0.091146
34,3.4615,GRU,0.366665,0.0,0.26685,0.105183
35,3.5619,GRU,0.300001,0.0,0.295081,0.116842
36,3.6622,GRU,0.245457,0.0,0.318197,0.126523
37,3.7625,GRU,0.20083,0.0,0.337115,0.13456
38,3.8629,GRU,0.164316,0.0,0.35259,0.141229
39,3.9632,GRU,0.134441,0.0,0.365242,0.146761
